Escola,Função,Nome
Escola Superior de Saúde Jean Piaget Viseu,Diretora da Escola,Lúcia Pereira
Escola Superior de Saúde Jean Piaget Viseu,Diretora Adjunta,Ana Margarida Caldeira
Escola Superior de Saúde Jean Piaget Viseu,Conselho Técnico-Científico,Doutora Ana Isabel Ribeiro
Escola Superior de Saúde Jean Piaget Viseu,Conselho Técnico-Científico,Doutor Gustavo Desouzart
Escola Superior de Saúde Jean Piaget Viseu,Conselho Técnico-Científico,Doutora Lúcia Pereira
Escola Superior de Saúde Jean Piaget Viseu,Conselho Técnico-Científico,Doutora Providência Marinheiro
Escola Superior de Saúde Jean Piaget Viseu,Conselho Técnico-Científico,Doutora Sandra Gagulic
Escola Superior de Saúde Jean Piaget Viseu,Conselho Técnico-Científico,Doutora Susana Barata Teixeira
Escola Superior de Saúde Jean Piaget Viseu,Conselho Técnico-Científico,Doutor Carlos Tavares
Escola Superior de Saúde Jean Piaget Viseu,Conselho Pedagógico,Doutora Susana Barata Teixeira, Presidente
Escola Superior de Saúde Jean Piaget Viseu,Conselho Pedagógico,Doutora Ana Isabel Ribeiro
Escola Superior de Saúde Jean Piaget Viseu,Conselho Pedagógico,Ana Margarida Caldeira
Escola Superior de Saúde Jean Piaget Viseu,Conselho Pedagógico,Doutor Carlos José da Silva Tavares
Escola Superior de Saúde Jean Piaget Viseu,Conselho Pedagógico,Aluna Ana Rita Almeida Balula – Fisioterapia
Escola Superior de Saúde Jean Piaget Viseu,Conselho Pedagógico,Aluno Ruben Miguel Santos Soares – Fisioterapia
Escola Superior de Saúde Jean Piaget Viseu,Conselho Pedagógico,Aluna Júlia Filipe J. L. da Rocha – Enfermagem
Escola Superior de Saúde Jean Piaget Viseu,Conselho Pedagógico,Aluno João Pedro Silva Vieira – Enfermagem
Escola Superior de Saúde Jean Piaget Viseu,Conselho Consultivo,Representante dos docentes Doutor Gustavo Desouzart – Fisioterapia
Escola Superior de Saúde Jean Piaget Viseu,Conselho Consultivo,Representante dos docentes Doutora Magda Susana Santos Guerra – Enfermagem
Escola Superior de Saúde Jean Piaget Viseu,Conselho Consultivo,Representante dos funcionários,Ana Paula Mercês Nabais Simões Pina
Escola Superior de Saúde Jean Piaget Viseu,Conselho Consultivo,Representante dos estudantes João Pedro Silva Vieira – Enfermagem
Escola Superior de Saúde Jean Piaget Viseu,Conselho Consultivo,Representante dos estudantes Ruben Miguel Santos Soares – Fisioterapia
Escola Superior de Saúde Jean Piaget Viseu,Conselho Disciplinar,Diretora-Adjunta Ana Margarida Caldeira
Escola Superior de Saúde Jean Piaget Viseu,Conselho Disciplinar,Representante dos docentes Doutor Carlos José da Silva Tavares
Escola Superior de Saúde Jean Piaget Viseu,Conselho Disciplinar,Representante dos docentes Doutor Nuno Carvalho
Escola Superior de Saúde Jean Piaget Viseu,Conselho Disciplinar,Representante dos docentes Doutora Susana Barata Teixeira
Escola Superior de Saúde Jean Piaget Viseu,Conselho Disciplinar,Representante dos funcionários Ana Paula Mercês Nabais Simões Pina
Escola Superior de Saúde Jean Piaget Viseu,Conselho Disciplinar,Representante dos estudantes Alexandre Silveira de Almeida – Enfermagem
Escola Superior de Saúde Jean Piaget Viseu,Conselho Disciplinar,Representante dos estudantes Ruben Miguel Santos Soares – Fisioterapia
Escola Superior de Desporto e Educação Jean Piaget Vila Nova de Gaia,Diretora da Escola,Alcina Figueiroa
Escola Superior de Desporto e Educação Jean Piaget Vila Nova de Gaia,Diretora Adjunta,Cidália Freitas
Escola Superior de Saúde Jean Piaget Vila Nova de Gaia,Diretor da Escola,Margarida Ferreira
Escola Superior de Saúde Jean Piaget Vila Nova de Gaia,Diretor Adjunto,Manuel Paquete
Escola Superior de Educação Jean Piaget Almada,Diretora da Escola,Rita Faria
Escola Superior de Educação Jean Piaget Almada,Diretora Adjunta,Susana Alberto
Escola Superior de Educação Jean Piaget Almada,Conselho Técnico-Científico,Doutora Ana Cristina Cruz Gonçalves
Escola Superior de Educação Jean Piaget Almada,Conselho Técnico-Científico,Doutora Clementina da Conceição Lobato Nogueira
Escola Superior de Educação Jean Piaget Almada,Conselho Técnico-Científico,Doutor Domingos Manuel da Silva Rasteiro
Escola Superior de Educação Jean Piaget Almada,Conselho Técnico-Científico,Doutora Helena Costa Pinto Miranda Ribeiro de Castro
Escola Superior de Educação Jean Piaget Almada,Conselho Técnico-Científico,Doutora Rosa Helena de Pernambuco Nogueira
Escola Superior de Educação Jean Piaget Almada,Conselho Pedagógico,Doutora Ana Cristina Cruz Gonçalves
Escola Superior de Educação Jean Piaget Almada,Conselho Pedagógico,Doutora Clementina da Conceição Lobato Nogueira
Escola Superior de Educação Jean Piaget Almada,Conselho Pedagógico,Doutora Helena Costa Pinto Reis Miranda Ribeiro de Castro
Escola Superior de Educação Jean Piaget Almada,Conselho Pedagógico,Doutora Rosa Helena de Pernambuco Nogueira
Escola Superior de Educação Jean Piaget Almada,Conselho Pedagógico,Mestre Fernando Luís Santos
Escola Superior de Educação Jean Piaget Almada,Conselho Pedagógico,Aluna Soraia Alexandra Correia de Almeida — CTeSP Serviço Social e Desenvolvimento Comunitário
Escola Superior de Educação Jean Piaget Almada,Conselho Pedagógico,Aluna Mariana dos Santos Belo Teixeira Galveia — CTeSP Serviço Social e Desenvolvimento Comunitário
Escola Superior de Educação Jean Piaget Almada,Conselho Pedagógico,Aluna Sara Lopes Jorge — Licenciatura em Educação Básica
